,height,weight,size,color
269,182.88,86.1825503,L,yellow
270,190.5,115.66605435000001,XS,blue
271,175.26,92.98643585,S,red
272,177.8,65.77089365,M,green
273,165.1,71.21400209000001,M,green
274,177.8,101.15109851000001,XL,purple
275,160.02,79.37866475,XL,purple
276,177.8,111.13013065000001,M,green
277,175.26,83.91458845000001,XS,blue
278,172.72,86.63614267,XS,blue
279,195.58,81.6466266,XL,purple
280,177.8,78.92507238,M,green
281,185.42000000000002,107.95498406,M,green
282,182.88,97.52235955,L,yellow
283,167.64000000000001,78.01788764,L,yellow
284,172.72,99.79032140000001,M,green
285,177.8,63.502931800000006,L,yellow
286,167.64000000000001,65.77089365,L,yellow
287,167.64000000000001,90.718474,L,yellow
288,165.1,81.6466266,XS,blue
289,190.5,87.08973504000001,L,yellow
290,167.64000000000001,83.91458845000001,M,green
291,180.34,70.30681735,XL,purple
292,175.26,83.91458845000001,L,yellow
293,187.96,93.44002822,XL,purple
294,175.26,96.16158244,L,yellow
295,180.34,86.1825503,L,yellow
296,175.26,106.59420695,L,yellow
297,170.18,73.93555631000001,L,yellow
298,172.72,72.57477920000001,L,yellow
299,180.34,87.08973504000001,XS,blue
300,162.56,46.72001411,M,green
301,167.64000000000001,79.37866475,L,yellow
302,182.88,98.88313666,XL,purple
303,182.88,113.3980925,L,yellow
304,180.34,82.10021897,XL,purple
305,180.34,112.49090776,XL,purple
306,198.12,91.17206637000001,S,red
307,180.34,94.80080533,L,yellow
308,180.34,85.72895793,L,yellow
309,175.26,85.27536556,L,yellow
310,187.96,94.34721296000001,M,green
311,180.34,92.07925111,L,yellow
312,165.1,74.38914868,L,yellow
313,172.72,84.82177319,XS,blue
314,170.18,73.93555631000001,M,green
315,180.34,83.91458845000001,M,green
316,175.26,97.52235955,L,yellow
317,182.88,74.84274105,M,green
318,180.34,65.77089365,L,yellow
319,175.26,68.0388555,S,red
320,175.26,73.93555631000001,XS,blue
321,180.34,67.58526313,S,red
322,167.64000000000001,80.73944186,M,green
323,187.96,86.1825503,L,yellow
324,182.88,79.37866475,L,yellow
325,172.72,81.19303423000001,S,red
326,175.26,76.65711053,S,red
327,170.18,85.27536556,L,yellow
328,185.42000000000002,90.718474,M,green
329,198.12,82.55381134000001,L,yellow
330,175.26,84.82177319,M,green
331,193.04,115.66605435000001,S,red
332,167.64000000000001,84.36818082,L,yellow
333,177.8,95.2543977,XL,purple
334,187.96,104.32624510000001,XL,purple
335,177.8,86.63614267,XL,purple
336,167.64000000000001,75.74992579,L,yellow
337,167.64000000000001,81.6466266,XS,blue
338,182.88,97.52235955,M,green
339,190.5,74.84274105,S,red
340,185.42000000000002,80.28584949,L,yellow
341,172.72,72.57477920000001,M,green
342,177.8,72.57477920000001,XL,purple
343,170.18,74.84274105,M,green
344,177.8,85.72895793,L,yellow
345,167.64000000000001,69.85322498000001,XL,purple
346,177.8,81.6466266,M,green
347,195.58,99.33672903,M,green
348,180.34,87.54332741,L,yellow
349,162.56,72.57477920000001,XS,blue
350,185.42000000000002,73.48196394,M,green
351,182.88,72.12118683,L,yellow
352,182.88,128.36664071,M,green
353,185.42000000000002,95.2543977,M,green
354,167.64000000000001,102.05828325,XL,purple
355,175.26,81.6466266,L,yellow
356,172.72,83.00740371,L,yellow
357,175.26,85.27536556,L,yellow
358,180.34,76.20351816,M,green
359,172.72,73.02837157,M,green
360,177.8,72.57477920000001,S,red
361,170.18,86.1825503,XL,purple
362,160.02,54.4310844,XS,blue
363,172.72,74.84274105,M,green
364,185.42000000000002,93.89362059,M,green
365,165.1,92.98643585,L,yellow
366,172.72,92.07925111,L,yellow
367,167.64000000000001,97.52235955,XL,purple
368,167.64000000000001,68.0388555,M,green
369,187.96,97.52235955,L,yellow
370,190.5,108.8621688,XL,purple
371,167.64000000000001,90.718474,M,green
372,182.88,77.1107029,XS,blue
373,190.5,124.73790175,L,yellow
374,180.34,88.45051215000001,M,green
375,187.96,69.39963261,XS,blue
376,175.26,73.93555631000001,M,green
377,170.18,79.37866475,XL,purple
378,175.26,71.21400209000001,XL,purple
379,185.42000000000002,99.79032140000001,XL,purple
380,177.8,83.91458845000001,L,yellow
381,187.96,117.9340162,L,yellow
382,175.26,83.91458845000001,M,green
383,172.72,70.30681735,XL,purple
384,180.34,74.84274105,XL,purple
385,180.34,108.40857643000001,XL,purple
386,190.5,102.05828325,M,green
387,167.64000000000001,65.77089365,L,yellow
388,167.64000000000001,93.44002822,M,green
389,177.8,95.70799007000001,M,green
390,170.18,70.30681735,XL,purple
391,167.64000000000001,79.37866475,L,yellow
392,170.18,76.65711053,M,green
393,175.26,102.05828325,XL,purple
394,177.8,102.05828325,S,red
395,182.88,93.44002822,L,yellow
396,170.18,74.84274105,M,green
397,167.64000000000001,78.01788764,XL,purple
398,182.88,90.718474,L,yellow
399,198.12,80.73944186,XS,blue
400,182.88,81.6466266,XL,purple
401,177.8,63.502931800000006,XL,purple
402,170.18,75.74992579,M,green
403,175.26,79.37866475,L,yellow
404,165.1,81.6466266,M,green
405,167.64000000000001,72.57477920000001,M,green
406,165.1,85.27536556,L,yellow
407,185.42000000000002,112.49090776,M,green
408,175.26,74.84274105,L,yellow
409,187.96,90.718474,XL,purple
410,175.26,81.6466266,XL,purple
411,190.5,83.91458845000001,XS,blue
412,177.8,97.52235955,S,red
413,185.42000000000002,96.61517481,S,red
414,180.34,92.07925111,L,yellow
415,160.02,58.9670081,L,yellow
416,182.88,79.37866475,M,green
417,193.04,83.91458845000001,XS,blue
418,167.64000000000001,83.91458845000001,M,green
419,170.18,78.01788764,L,yellow
420,170.18,86.1825503,XL,purple
421,167.64000000000001,85.72895793,L,yellow
422,180.34,102.05828325,M,green
423,167.64000000000001,80.28584949,XL,purple
424,190.5,104.32624510000001,XL,purple
425,172.72,93.89362059,M,green
426,170.18,66.67807839000001,XL,purple
427,175.26,83.91458845000001,XS,blue
428,177.8,81.6466266,L,yellow
429,162.56,71.66759446,L,yellow
430,170.18,86.1825503,S,red
431,182.88,80.73944186,XL,purple
432,172.72,74.84274105,XS,blue
433,177.8,84.82177319,XL,purple
434,180.34,61.23496995,XL,purple
435,187.96,79.37866475,XL,purple
436,182.88,72.57477920000001,M,green
437,185.42000000000002,91.62565874,XL,purple
438,187.96,86.1825503,XS,blue
439,175.26,86.1825503,M,green
440,170.18,69.39963261,M,green
441,182.88,110.67653828,L,yellow
442,172.72,65.77089365,M,green
443,175.26,72.57477920000001,L,yellow
444,175.26,72.57477920000001,L,yellow
445,180.34,83.91458845000001,XL,purple
446,190.5,95.2543977,L,yellow
447,177.8,70.30681735,XL,purple
448,193.04,102.05828325,XL,purple
449,175.26,77.1107029,XS,blue
450,180.34,81.6466266,M,green
451,182.88,79.37866475,L,yellow
452,182.88,80.73944186,M,green
453,187.96,81.6466266,L,yellow
454,177.8,65.77089365,XS,blue
455,190.5,93.44002822,XL,purple
456,167.64000000000001,90.718474,L,yellow
457,187.96,113.3980925,M,green
458,160.02,76.20351816,L,yellow
459,177.8,88.45051215000001,L,yellow
460,185.42000000000002,92.98643585,XL,purple
461,175.26,77.1107029,L,yellow
462,177.8,66.67807839000001,S,red
463,180.34,79.83225712000001,L,yellow
464,170.18,68.0388555,XL,purple
465,185.42000000000002,88.45051215000001,L,yellow
466,177.8,79.37866475,XL,purple
467,172.72,77.1107029,L,yellow
468,180.34,93.89362059,XL,purple
469,175.26,79.37866475,XL,purple
470,177.8,86.1825503,XL,purple
471,177.8,88.45051215000001,M,green
472,180.34,120.20197805000001,XL,purple
473,180.34,74.38914868,XL,purple
474,180.34,80.73944186,S,red
475,177.8,74.84274105,L,yellow
476,172.72,77.1107029,M,green
477,182.88,63.502931800000006,XS,blue
478,180.34,72.57477920000001,XL,purple
479,172.72,82.10021897,M,green
480,177.8,79.37866475,M,green
481,162.56,67.13167076,L,yellow
482,165.1,78.01788764,S,red
483,185.42000000000002,88.45051215000001,M,green
484,175.26,90.718474,L,yellow
485,170.18,73.48196394,L,yellow
486,187.96,83.91458845000001,L,yellow
487,152.4,77.1107029,L,yellow
488,195.58,102.51187562000001,M,green
489,180.34,99.79032140000001,L,yellow
490,167.64000000000001,68.0388555,XL,purple
491,175.26,95.2543977,XS,blue
492,167.64000000000001,83.46099608,M,green
493,167.64000000000001,85.27536556,M,green
494,185.42000000000002,97.52235955,M,green
495,185.42000000000002,68.0388555,M,green
496,170.18,65.77089365,M,green
497,172.72,68.0388555,S,red
498,172.72,90.718474,XL,purple
499,172.72,84.82177319,XS,blue
500,187.96,114.75886961,XL,purple
501,170.18,86.1825503,L,yellow
502,180.34,88.90410452,L,yellow
503,185.42000000000002,79.37866475,XS,blue
504,175.26,79.83225712000001,M,green
505,170.18,81.6466266,XS,blue
506,172.72,77.1107029,M,green
507,180.34,68.0388555,S,red
508,177.8,88.45051215000001,L,yellow
509,175.26,74.84274105,M,green
510,177.8,65.77089365,M,green
511,182.88,74.84274105,M,green
512,177.8,97.06876718000001,S,red
513,172.72,88.90410452,XL,purple
514,177.8,88.45051215000001,M,green
515,180.34,87.54332741,M,green
516,170.18,86.1825503,M,green
517,180.34,91.62565874,S,red
518,175.26,90.718474,XL,purple
519,182.88,92.98643585,L,yellow
520,172.72,70.30681735,L,yellow
521,162.56,68.0388555,L,yellow
522,172.72,78.92507238,M,green
523,177.8,117.9340162,XS,blue
524,185.42000000000002,97.52235955,L,yellow
525,172.72,80.73944186,XL,purple
526,182.88,95.2543977,L,yellow
527,177.8,86.1825503,M,green
528,180.34,77.56429527,XL,purple
529,180.34,81.6466266,M,green
530,175.26,101.60469088,L,yellow
531,187.96,92.98643585,L,yellow
532,175.26,88.45051215000001,L,yellow
533,172.72,74.84274105,L,yellow
534,172.72,86.63614267,XL,purple
535,190.5,86.1825503,XL,purple
536,182.88,97.52235955,L,yellow
537,175.26,77.1107029,M,green
538,180.34,99.79032140000001,L,yellow
539,185.42000000000002,84.36818082,L,yellow
540,180.34,88.45051215000001,XL,purple
541,175.26,102.05828325,XL,purple
542,172.72,86.1825503,L,yellow
543,172.72,72.57477920000001,XL,purple
