height,weight,size,color
167.64,65.77089365,L,yellow
162.56,70.30681735,XL,purple
167.64,60.32778521,S,red
165.1,61.23496995,L,yellow
167.64,74.84274105,XL,purple
177.8,66.67807839000001,M,green
170.18,79.37866475,L,yellow
160.02,50.34875307,L,yellow
162.56,64.41011654,M,green
157.48,43.09127515,S,red
160.02,71.21400209000001,XL,purple
170.18,77.1107029,XL,purple
160.02,61.23496995,S,red
172.72,74.84274105,S,red
165.1,70.30681735,L,yellow
157.48,58.05982336,XL,purple
160.02,60.78137758,S,red
167.64,65.77089365,XL,purple
165.1,82.55381134000001,XL,purple
170.18,58.05982336,S,red
167.64,61.68856232,L,yellow
170.18,72.57477920000001,L,yellow
160.02,60.78137758,L,yellow
167.64,87.08973504000001,XL,purple
157.48,74.84274105,M,green
165.1,68.0388555,L,yellow
167.64,74.84274105,M,green
149.86,48.98797596,L,yellow
162.56,58.05982336,L,yellow
167.64,69.39963261,L,yellow
162.56,60.32778521,XL,purple
172.72,79.37866475,XL,purple
175.26,74.84274105,L,yellow
177.8,79.37866475,XL,purple
172.72,68.0388555,L,yellow
167.64,68.0388555,S,red
157.48,56.24545388,XL,purple
162.56,79.37866475,L,yellow
167.64,72.57477920000001,L,yellow
167.64,74.38914868,S,red
180.34,86.1825503,L,yellow
160.02,62.59574706,L,yellow
175.26,88.45051215000001,XL,purple
154.94,56.24545388,L,yellow
165.1,97.52235955,XL,purple
154.94,53.97749203,L,yellow
157.48,58.05982336,L,yellow
157.48,68.94604024,XL,purple
172.72,70.30681735,XL,purple
165.1,77.1107029,XL,purple
162.56,70.76040972,L,yellow
175.26,68.94604024,L,yellow
162.56,58.05982336,L,yellow
175.26,81.6466266,L,yellow
157.48,62.59574706,S,red
167.64,54.4310844,L,yellow
162.56,57.60623099,L,yellow
165.1,77.1107029,L,yellow
162.56,69.39963261,S,red
165.1,58.9670081,L,yellow
162.56,58.9670081,L,yellow
167.64,65.77089365,S,red
162.56,54.4310844,L,yellow
170.18,58.9670081,S,red
162.56,57.60623099,M,green
157.48,49.895160700000005,L,yellow
165.1,58.9670081,M,green
175.26,67.13167076,M,green
154.94,49.895160700000005,L,yellow
170.18,56.69904625,L,yellow
157.48,72.57477920000001,S,red
165.1,70.30681735,XL,purple
175.26,65.77089365,L,yellow
162.56,70.30681735,L,yellow
162.56,58.9670081,S,red
175.26,65.77089365,XL,purple
175.26,76.20351816,M,green
175.26,70.30681735,XL,purple
170.18,75.29633342000001,L,yellow
170.18,64.86370891,XL,purple
170.18,77.1107029,S,red
185.42,68.0388555,S,red
167.64,64.41011654,L,yellow
175.26,68.0388555,XL,purple
162.56,62.59574706,S,red
149.86,43.54486752,L,yellow
160.02,58.9670081,S,red
177.8,90.718474,XL,purple
157.48,68.0388555,L,yellow
180.34,82.10021897,L,yellow
167.64,58.9670081,S,red
160.02,72.12118683,S,red
175.26,77.56429527,L,yellow
167.64,65.77089365,S,red
165.1,68.0388555,L,yellow
172.72,68.0388555,XL,purple
157.48,58.05982336,L,yellow
167.64,74.38914868,S,red
160.02,80.28584949,S,red
160.02,55.33826914,M,green
167.64,63.502931800000006,L,yellow
157.48,61.23496995,XL,purple
165.1,56.69904625,L,yellow
190.5,61.68856232,L,yellow
167.64,78.47148001000001,L,yellow
157.48,63.502931800000006,S,red
170.18,79.37866475,L,yellow
152.4,64.41011654,L,yellow
165.1,76.65711053,L,yellow
165.1,68.0388555,M,green
175.26,84.82177319,L,yellow
167.64,74.84274105,L,yellow
152.4,53.97749203,M,green
170.18,77.1107029,L,yellow
162.56,69.39963261,L,yellow
160.02,79.37866475,L,yellow
175.26,84.82177319,L,yellow
160.02,63.502931800000006,XL,purple
167.64,62.142154690000005,L,yellow
170.18,58.9670081,XL,purple
172.72,82.10021897,XL,purple
167.64,78.47148001000001,L,yellow
160.02,72.57477920000001,XS,blue
157.48,63.95652417,L,yellow
167.64,73.48196394,S,red
154.94,55.33826914,S,red
167.64,76.20351816,L,yellow
177.8,74.84274105,L,yellow
162.56,79.37866475,L,yellow
162.56,69.85322498000001,L,yellow
172.72,68.0388555,L,yellow
167.64,72.57477920000001,L,yellow
162.56,74.84274105,L,yellow
175.26,77.56429527,L,yellow
167.64,72.57477920000001,S,red
167.64,65.77089365,XL,purple
175.26,77.56429527,L,yellow
172.72,76.20351816,XL,purple
170.18,64.41011654,S,red
